board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_s,ppk2_samples,ppk2_current_mean_uA,ppk2_current_max_uA,ppk2_current_p95_uA,ppk2_charge_uC,ppk2_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,22479,p256,keygen,0,64,33059081,393560,89298.05044,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,498,17967.38,18791.59,0.82421,82422,32831.43766,37521.297,36000.035,27060.01529,89298.05044
NUCLEO-F446RE,STM32F446RE,84,22906,p256,sign,32,71,34705183,413156,42867.56887,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,498,18829.76,19224.15,0.39439,39440,32937.32709,38206.797,35947.773,12990.17238,42867.56887
NUCLEO-F446RE,STM32F446RE,84,23728,p256,verify_ok,32,0,67945611,808876,44526.37581,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,498,19237.68,19647.73,0.41005,41006,32905.37743,38206.797,36104.598,13492.84115,44526.37581
NUCLEO-F446RE,STM32F446RE,84,24160,p256,keygen,0,64,33059035,393559,87919.90249,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,498,19661.11,20470.93,0.80982,80983,32899.08627,37679.293,36052.309,26642.39469,87919.90249
NUCLEO-F446RE,STM32F446RE,84,24584,p256,sign,32,72,34504889,410772,43048.94829,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2212,498,20508.89,20903.95,0.39506,39507,33020.54994,38048.41,36104.598,13045.13584,43048.94829
NUCLEO-F446RE,STM32F446RE,84,25413,p256,verify_ok,32,0,68510117,815596,45155.61672,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,498,20917.47,21332.17,0.4147,41471,32996.16833,38153.988,36209.211,13683.52022,45155.61672
NUCLEO-F446RE,STM32F446RE,84,25847,p256,keygen,0,64,33178905,394986,88592.52633,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,498,21345.56,22159.91,0.81435,81436,32966.36536,37731.984,36156.898,26846.2201,88592.52633
NUCLEO-F446RE,STM32F446RE,84,26270,p256,sign,32,70,34426150,409835,43024.44819,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,498,22197.89,22592.18,0.39429,39430,33066.21399,37626.613,36104.598,13037.71157,43024.44819
NUCLEO-F446RE,STM32F446RE,84,27095,p256,verify_ok,32,0,68224599,812197,44642.00976,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2217,498,22605.71,23016.07,0.41036,41037,32965.88242,38629.738,36209.211,13527.88175,44642.00976
NUCLEO-F446RE,STM32F446RE,84,27529,p256,keygen,0,64,33178923,394987,88209.21741,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2217,498,23029.94,23840.55,0.81061,81062,32975.17771,37995.641,36156.898,26730.06588,88209.21741
NUCLEO-F446RE,STM32F446RE,84,27952,p256,sign,32,70,34469935,410356,42977.32019,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,499,23879.17,24272.85,0.39368,39369,33081.20133,37679.293,36156.898,13023.43036,42977.32019
NUCLEO-F446RE,STM32F446RE,84,28780,p256,verify_ok,32,0,68307391,813183,44997.8697,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,499,24286.38,24699.6,0.41322,41323,32998.73095,38259.621,36261.539,13635.71809,44997.8697
NUCLEO-F446RE,STM32F446RE,84,29212,p256,keygen,0,64,33059081,393560,87989.99831,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,498,24712.98,25521.98,0.809,80901,32958.68386,38101.191,36156.898,26663.63585,87989.99831
NUCLEO-F446RE,STM32F446RE,84,29637,p256,sign,32,72,34546603,411269,42994.34063,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2212,499,25560.51,25954.04,0.39353,39354,33106.90257,37679.293,36156.898,13028.58807,42994.34063
NUCLEO-F446RE,STM32F446RE,84,30465,p256,verify_ok,32,0,68438459,814743,44715.65642,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,499,25967.58,26378.45,0.41087,41088,32979.3277,38682.664,36209.211,13550.19892,44715.65642
NUCLEO-F446RE,STM32F446RE,84,30897,p256,keygen,0,64,33059081,393560,88677.66088,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,499,26391.83,27207.49,0.81566,81567,32945.08842,37731.984,36156.898,26872.01845,88677.66088
NUCLEO-F446RE,STM32F446RE,84,31319,p256,sign,32,71,34300083,408334,43125.65451,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2217,499,27245.69,27640.75,0.39506,39507,33079.42645,38312.453,36156.898,13068.38015,43125.65451
NUCLEO-F446RE,STM32F446RE,84,32142,p256,verify_ok,32,0,68021515,809779,44643.94344,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,499,27654.29,28064.11,0.40982,40983,33010.73431,38206.797,36261.539,13528.46771,44643.94344
NUCLEO-F446RE,STM32F446RE,84,32576,p256,keygen,0,64,33178923,394987,88426.77182,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,499,28077.5,28889.87,0.81237,81238,32984.92458,37890.137,36156.898,26795.99146,88426.77182
NUCLEO-F446RE,STM32F446RE,84,32997,p256,sign,32,71,34280661,408103,43135.42886,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,499,28927.98,29322.99,0.39501,39502,33091.06931,37731.984,36209.211,13071.34208,43135.42886
NUCLEO-F446RE,STM32F446RE,84,33822,p256,verify_ok,32,0,68137602,811161,44689.20337,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,499,29336.53,29746.79,0.41026,41027,33008.76347,38523.926,36261.539,13542.18284,44689.20337
NUCLEO-F446RE,STM32F446RE,84,34255,p256,keygen,0,64,33178986,394987,88549.10023,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2215,499,29760.84,30574.09,0.81325,81326,32994.79912,37784.691,36209.211,26833.06068,88549.10023
NUCLEO-F446RE,STM32F446RE,84,34678,p256,sign,32,70,34440604,410007,42997.76718,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,499,30612.99,31006.52,0.39353,39354,33109.54166,37731.984,36209.211,13029.62642,42997.76718
NUCLEO-F446RE,STM32F446RE,84,35513,p256,verify_ok,32,0,68981726,821211,44786.9983,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2212,499,31020.05,31431.37,0.41132,41133,32995.72036,38365.305,36261.539,13571.81767,44786.9983
NUCLEO-F446RE,STM32F446RE,84,35945,p256,keygen,0,64,33059081,393560,88639.23788,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,499,31444.76,32259.59,0.81483,81484,32964.32255,37837.406,36156.898,26860.37512,88639.23788
NUCLEO-F446RE,STM32F446RE,84,36370,p256,sign,32,72,34593349,411825,43015.23904,3526,45200,45200,gcc-arm-none-eabi,O2,off,2210,2214,499,32298.12,32691.53,0.39341,39342,33133.0903,38576.824,36209.211,13034.92092,43015.23904
NUCLEO-F446RE,STM32F446RE,84,37203,p256,verify_ok,32,0,68811502,819184,44491.36877,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2215,499,32705.06,33113.39,0.40833,40834,33017.97789,38735.605,36261.539,13482.23296,44491.36877
NUCLEO-F446RE,STM32F446RE,84,37635,p256,keygen,0,64,33059105,393560,88182.30752,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,499,33126.78,33936.76,0.80998,80999,32990.79296,37784.691,36209.211,26721.91137,88182.30752
NUCLEO-F446RE,STM32F446RE,84,38056,p256,sign,32,70,34232956,407535,43132.66224,3526,45200,45200,gcc-arm-none-eabi,O2,off,2209,2214,499,33975.21,34370.24,0.39503,39504,33087.2881,37731.984,36201.36405,13070.50371,43132.66224
NUCLEO-F446RE,STM32F446RE,84,38880,p256,verify_ok,32,0,68050939,810130,44458.01421,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,499,34383.78,34791.74,0.40796,40797,33023.16616,38894.5,36261.539,13472.12552,44458.01421
NUCLEO-F446RE,STM32F446RE,84,39312,p256,keygen,0,64,33124269,394336,88366.22734,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2214,499,34805.12,35615.97,0.81085,81086,33024.11923,38418.164,36209.211,26777.64465,88366.22734
NUCLEO-F446RE,STM32F446RE,84,39736,p256,sign,32,72,34418625,409745,43147.02756,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,498,35653.81,36048.61,0.3948,39481,33117.57227,37731.984,36209.211,13074.85684,43147.02756
NUCLEO-F446RE,STM32F446RE,84,40571,p256,verify_ok,32,0,69074067,822310,44723.70198,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2217,499,36062.14,36472.1,0.40996,40997,33058.42028,38365.305,36313.879,13552.63696,44723.70198
NUCLEO-F446RE,STM32F446RE,84,41005,p256,keygen,0,64,33178986,394987,89432.68078,3526,45200,45200,gcc-arm-none-eabi,O2,off,2209,2212,499,36485.49,37306.56,0.82107,82108,33006.66612,37837.406,36209.211,27100.81236,89432.68078
NUCLEO-F446RE,STM32F446RE,84,41425,p256,sign,32,71,34169837,406783,43051.43848,3526,45200,45200,gcc-arm-none-eabi,O2,off,2209,2212,498,37345.46,37738.98,0.39352,39353,33151.69679,37784.691,36261.539,13045.89045,43051.43848
NUCLEO-F446RE,STM32F446RE,84,42250,p256,verify_ok,32,0,68213977,812071,44919.23601,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2211,498,37752.51,38164.27,0.41176,41177,33057.8084,38788.559,36313.879,13611.8897,44919.23601
NUCLEO-F446RE,STM32F446RE,84,42682,p256,keygen,0,64,33059105,393560,89157.11183,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2211,498,38177.66,38996.48,0.81882,81883,32995.39404,37995.641,36209.211,27017.30662,89157.11183
NUCLEO-F446RE,STM32F446RE,84,43106,p256,sign,32,72,34465101,410298,43037.03231,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2211,498,39035.02,39428.47,0.39345,39346,33146.49706,37784.691,36209.211,13041.52494,43037.03231
NUCLEO-F446RE,STM32F446RE,84,43934,p256,verify_ok,32,0,68400265,814288,44413.20524,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,498,39442,39849.5,0.4075,40751,33027.1618,38682.664,36313.879,13458.54704,44413.20524
NUCLEO-F446RE,STM32F446RE,84,44365,p256,keygen,0,64,33059081,393560,88330.01418,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,498,39862.88,40672.89,0.81001,81002,33044.8111,37942.883,36261.539,26766.67096,88330.01418
NUCLEO-F446RE,STM32F446RE,84,44789,p256,sign,32,72,34461534,410256,43100.83001,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2210,498,40710.77,41105.03,0.39426,39427,33127.42218,37679.293,36209.211,13060.85758,43100.83001
NUCLEO-F446RE,STM32F446RE,84,45622,p256,verify_ok,32,0,68830343,819408,44641.9939,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,498,41119.12,41528.92,0.4098,40981,33010.91182,39000.496,36261.539,13527.87694,44641.9939
NUCLEO-F446RE,STM32F446RE,84,46054,p256,keygen,0,64,33124332,394337,89466.32571,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2212,498,41542.31,42364.67,0.82236,82237,32967.25292,37784.691,36156.898,27111.00779,89466.32571
NUCLEO-F446RE,STM32F446RE,84,46476,p256,sign,32,71,34303497,408374,43142.42005,3526,45200,45200,gcc-arm-none-eabi,O2,off,2208,2214,499,42402.82,42797.98,0.39516,39517,33083.86502,38206.797,36156.898,13073.46062,43142.42005
NUCLEO-F446RE,STM32F446RE,84,47300,p256,verify_ok,32,0,68113232,810871,44326.64408,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,498,42811.53,43218.5,0.40697,40698,33005.64502,38365.305,36261.539,13432.31639,44326.64408
NUCLEO-F446RE,STM32F446RE,84,47734,p256,keygen,0,64,33178865,394986,88469.07504,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,498,43231.89,44044.23,0.81234,81235,33001.93901,37837.406,36209.211,26808.81062,88469.07504
NUCLEO-F446RE,STM32F446RE,84,48155,p256,sign,32,70,34306938,408415,43040.32773,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2211,498,44082.52,44476,0.39348,39349,33146.52254,37890.137,36261.539,13042.52356,43040.32773
NUCLEO-F446RE,STM32F446RE,84,48986,p256,verify_ok,32,0,68676629,817578,44668.72443,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,498,44489.53,44899.74,0.41021,41022,32997.70836,38576.824,36261.539,13535.9771,44668.72443
NUCLEO-F446RE,STM32F446RE,84,49419,p256,keygen,0,64,33113564,394209,88647.95409,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,498,44913.13,45727.25,0.81412,81413,32996.34995,37890.137,36209.211,26863.01639,88647.95409
NUCLEO-F446RE,STM32F446RE,84,49845,p256,sign,32,71,34634028,412309,43028.83451,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,498,45765.19,46158.66,0.39347,39348,33138.4957,37784.691,36209.211,13039.04076,43028.83451
NUCLEO-F446RE,STM32F446RE,84,50672,p256,verify_ok,32,0,68339744,813568,44683.66556,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,499,46172.2,46582.26,0.41006,41007,33020.76142,38841.523,36261.539,13540.50472,44683.66556
NUCLEO-F446RE,STM32F446RE,84,51104,p256,keygen,0,64,33059105,393560,89132.46084,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2214,498,46595.64,47414.62,0.81898,81899,32979.79108,37942.883,36209.211,27009.83662,89132.46084
NUCLEO-F446RE,STM32F446RE,84,51530,p256,sign,32,72,34676458,412814,43114.64409,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2214,499,47452.48,47846.76,0.39428,39429,33136.39084,38312.453,36261.539,13065.04366,43114.64409
NUCLEO-F446RE,STM32F446RE,84,52361,p256,verify_ok,32,0,68669066,817488,44506.32074,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2210,499,47860.79,48269.09,0.4083,40831,33031.52767,38682.664,36261.539,13486.76386,44506.32074
NUCLEO-F446RE,STM32F446RE,84,52793,p256,keygen,0,64,33059035,393559,88354.88519,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2211,498,48282.46,49093.21,0.81075,81076,33023.93015,37837.406,36261.539,26774.20763,88354.88519
NUCLEO-F446RE,STM32F446RE,84,53217,p256,sign,32,72,34418059,409738,43153.29287,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,499,49131.23,49526.01,0.39478,39479,33124.09181,37784.691,36261.539,13076.75542,43153.29287
NUCLEO-F446RE,STM32F446RE,84,54044,p256,verify_ok,32,0,68327558,813423,44546.52908,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2211,499,49539.54,49947.91,0.40837,40838,33055.73596,39053.516,36261.539,13498.94821,44546.52908
NUCLEO-F446RE,STM32F446RE,84,54478,p256,keygen,0,64,33178865,394986,89088.66514,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2211,499,49961.29,50778.82,0.81753,81754,33022.08872,37837.406,36209.211,26996.56519,89088.66514
NUCLEO-F446RE,STM32F446RE,84,54901,p256,sign,32,70,34395578,409471,43057.53466,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2212,499,50816.94,51210.97,0.39403,39404,33113.49811,37890.137,36209.211,13047.73778,43057.53466
NUCLEO-F446RE,STM32F446RE,84,55730,p256,verify_ok,32,0,68519671,815710,44933.2587,3526,45200,45200,gcc-arm-none-eabi,O2,off,2207,2211,499,51224.5,51636.77,0.41227,41228,33027.24236,38418.164,36261.539,13616.139,44933.2587
NUCLEO-F446RE,STM32F446RE,84,56162,p256,keygen,0,64,33113564,394209,88709.71567,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2211,499,51650.79,52464.29,0.8135,81351,33044.46582,37890.137,36261.539,26881.73202,88709.71567
NUCLEO-F446RE,STM32F446RE,84,56588,p256,sign,32,71,34674541,412792,43045.94544,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2212,499,52502.67,52896.13,0.39346,39347,33152.52806,38259.621,36261.539,13044.22589,43045.94544
NUCLEO-F446RE,STM32F446RE,84,57417,p256,verify_ok,32,0,68478805,815223,45017.03497,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2212,499,52909.66,53322.37,0.41271,41272,33053.50212,38365.305,36313.879,13641.52575,45017.03497
NUCLEO-F446RE,STM32F446RE,84,57849,p256,keygen,0,64,33059081,393560,88976.88977,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2214,500,53335.76,54152.96,0.8172,81721,32993.95727,37837.406,36209.211,26962.69387,88976.88977
NUCLEO-F446RE,STM32F446RE,84,58271,p256,sign,32,71,34297283,408300,43039.47904,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2211,499,54191.18,54584.58,0.3934,39341,33152.59438,37837.406,36209.211,13042.26637,43039.47904
NUCLEO-F446RE,STM32F446RE,84,59091,p256,verify_ok,32,0,67745090,806489,44659.81455,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2211,499,54598.79,55008.31,0.40952,40953,33046.6962,38523.926,36313.879,13533.27714,44659.81455
NUCLEO-F446RE,STM32F446RE,84,59522,p256,keygen,0,64,33059081,393560,88648.01953,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2212,499,55021.69,55835.2,0.81351,81352,33021.07454,38418.164,36209.211,26863.03622,88648.01953
NUCLEO-F446RE,STM32F446RE,84,59947,p256,sign,32,70,34585734,411734,43168.93632,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2210,499,55873.91,56268.89,0.39498,39499,33119.28914,37837.406,36209.211,13081.49585,43168.93632
NUCLEO-F446RE,STM32F446RE,84,60780,p256,verify_ok,32,0,68849123,819632,44643.5655,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2211,499,56282.42,56691.86,0.40944,40945,33041.09915,38576.824,36261.539,13528.35318,44643.5655
NUCLEO-F446RE,STM32F446RE,84,61214,p256,keygen,0,64,33178986,394987,88743.2869,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2210,499,56705.24,57521.08,0.81584,81585,32962.15967,37995.641,36209.211,26891.90512,88743.2869
NUCLEO-F446RE,STM32F446RE,84,61636,p256,sign,32,71,34359690,409043,43062.53158,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2212,499,57559,57953.22,0.39422,39423,33101.34463,37679.293,36156.898,13049.25199,43062.53158
NUCLEO-F446RE,STM32F446RE,84,62461,p256,verify_ok,32,0,68181896,811689,44937.95413,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2212,499,57966.75,58379.66,0.41291,41292,32979.46524,38365.305,36261.539,13617.56186,44937.95413
NUCLEO-F446RE,STM32F446RE,84,62895,p256,keygen,0,64,33178905,394986,88793.82225,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2211,500,58393.61,59209.28,0.81567,81568,32987.80309,38048.41,36209.211,26907.21886,88793.82225
NUCLEO-F446RE,STM32F446RE,84,63317,p256,sign,32,70,34344195,408859,43019.21515,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2211,499,59247.64,59641.54,0.3939,39391,33094.94844,37890.137,36209.211,13036.1258,43019.21515
NUCLEO-F446RE,STM32F446RE,84,64143,p256,verify_ok,32,0,68249392,812492,44454.94427,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2212,500,59655.08,60063.79,0.40871,40872,32960.26136,38365.305,36209.211,13471.19523,44454.94427
NUCLEO-F446RE,STM32F446RE,84,64576,p256,keygen,0,64,33059105,393560,87850.78419,3526,45200,45200,gcc-arm-none-eabi,O2,off,2206,2212,500,60077.19,60884.05,0.80686,80687,32993.84139,37784.691,36209.211,26621.44975,87850.78419
NUCLEO-F446RE,STM32F446RE,84,65003,p256,sign,32,70,34714936,413273,43018.65604,3526,45200,45200,gcc-arm-none-eabi,O2,off,2204,2211,500,60921.82,61315.39,0.39357,39358,33122.26058,37995.641,36209.211,13035.95638,43018.65604
NUCLEO-F446RE,STM32F446RE,84,65827,p256,verify_ok,32,0,68083329,810515,44860.0757,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2210,501,61328.93,61740.75,0.41182,41183,33009.45249,38153.988,36261.539,13593.96233,44860.0757
NUCLEO-F446RE,STM32F446RE,84,66258,p256,keygen,0,64,33059081,393560,89300.25554,3526,45200,45200,gcc-arm-none-eabi,O2,off,2205,2211,500,61754.13,62573.88,0.81975,81976,33010.82641,37890.137,36209.211,27060.6835,89300.25554
NUCLEO-F446RE,STM32F446RE,84,66683,p256,sign,32,70,34577438,411636,43165.36533,3526,45200,45200,gcc-arm-none-eabi,O2,off,2204,2211,501,62612.06,63007.12,0.39506,39507,33109.87115,37942.883,36209.211,13080.41374,43165.36533
