board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,3066,dilithium2,verify_ok,2420,0,3183996,37904,4099.64686,797,144,144,gcc-arm-none-eabi,O2,off,2220,2228,519,3564.42,3602.41,37.99,3800,32701.16426,36680.625,43824.266,1242.31723,4099.64686
NUCLEO-F446RE,STM32F446RE,84,3140,dilithium2,keygen,0,1312,3087325,36753,24811.05383,797,144,144,gcc-arm-none-eabi,O2,off,2220,2228,519,3615.13,3861.6,246.47,24648,30504.73144,35895.523,45128.43,7518.501159,24811.05383
NUCLEO-F446RE,STM32F446RE,84,3267,dilithium2,sign,14,2420,9562142,113835,4044.349287,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,3874.96,3912.93,37.97,3798,32277.07111,36575.773,44149.602,1225.56039,4044.349287
NUCLEO-F446RE,STM32F446RE,84,3318,dilithium2,verify_ok,2420,0,3184286,37908,4023.606964,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,3950.16,3986.98,36.82,3683,33114.47142,36733.066,43878.457,1219.274838,4023.606964
NUCLEO-F446RE,STM32F446RE,84,3392,dilithium2,keygen,0,1312,3130776,37271,19160.18491,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,3999.69,4190.57,190.88,19089,30417.62698,35895.523,45073.941,5806.116638,19160.18491
NUCLEO-F446RE,STM32F446RE,84,3539,dilithium2,sign,14,2420,11284812,134343,4094.109082,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,4203.37,4241.34,37.97,3798,32674.1932,36366.23,44366.754,1240.639116,4094.109082
NUCLEO-F446RE,STM32F446RE,84,3590,dilithium2,verify_ok,2420,0,3184002,37904,3980.093151,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,4278.85,4315.68,36.83,3684,32747.45679,36680.625,44149.602,1206.088834,3980.093151
NUCLEO-F446RE,STM32F446RE,84,3663,dilithium2,keygen,0,1312,3021900,35975,11654.64951,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,4328.4,4442.47,114.07,11408,30960.9185,35877.2411,45073.941,3531.711973,11654.64951
NUCLEO-F446RE,STM32F446RE,84,3729,dilithium2,sign,14,2420,4496918,53534,4119.748541,797,144,144,gcc-arm-none-eabi,O2,off,2220,2227,519,4455.19,4493.16,37.97,3798,32878.81614,36470.977,44965,1248.408649,4119.748541
NUCLEO-F446RE,STM32F446RE,84,3781,dilithium2,verify_ok,2420,0,3304284,39336,4083.272289,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,4530.4,4567.73,37.33,3734,33146.4034,36733.066,43932.66,1237.355239,4083.272289
NUCLEO-F446RE,STM32F446RE,84,3856,dilithium2,keygen,0,1312,3130658,37269,13564.52201,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,4580.45,4715.04,134.59,13460,30540.61383,35895.523,45291.977,4110.461215,13564.52201
NUCLEO-F446RE,STM32F446RE,84,3922,dilithium2,sign,14,2420,4497265,53538,4049.835847,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,4727.84,4765.83,37.99,3800,32303.8427,36680.625,43607.637,1227.222984,4049.835847
NUCLEO-F446RE,STM32F446RE,84,3973,dilithium2,verify_ok,2420,0,3184058,37905,3896.615477,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,4802.96,4839.01,36.05,3606,32754.30149,36628.191,43770.09,1180.792569,3896.615477
NUCLEO-F446RE,STM32F446RE,84,4048,dilithium2,keygen,0,1312,3207647,38186,5555.482835,797,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,4851.72,4905.35,53.63,5364,31390.63298,36000.035,44747.273,1683.479647,5555.482835
NUCLEO-F446RE,STM32F446RE,84,4226,dilithium2,sign,14,2420,13913988,165642,4204.53445,797,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,4917.97,4957.38,39.41,3942,32329.39225,36733.066,44366.754,1274.101348,4204.53445
NUCLEO-F446RE,STM32F446RE,84,4277,dilithium2,verify_ok,2420,0,3184111,37906,4085.810855,797,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,4995.36,5032.7,37.34,3735,33158.12805,36680.625,43878.457,1238.124501,4085.810855
NUCLEO-F446RE,STM32F446RE,84,4351,dilithium2,keygen,0,1312,3065014,36488,5462.612507,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,5045.41,5099.06,53.65,5366,30854.37322,35947.773,44856.109,1655.337123,5462.612507
