board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,3079,dilithium2,sign,14,2420,20722005,246690,23627.0574375,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11080.0,11326.0,246.0,247.0,29073.295016194334,34558.293999999994,35097.738,7159.714375,23627.0574375
NUCLEO-F446RE,STM32F446RE,84,3130,dilithium2,verify_ok,2420,0,3183532,37899,3886.161087599999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11131.0,11168.0,37.0,38.0,31642.151368421055,34747.27965,34873.82,1177.6245719999997,3886.161087599999
NUCLEO-F446RE,STM32F446RE,84,3239,dilithium2,keygen,0,1312,3087383,36754,3678.6098150999997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11240.0,11276.0,36.0,37.0,31029.26183783784,33873.8924,34517.742,1114.7302470000002,3678.6098150999997
NUCLEO-F446RE,STM32F446RE,84,3443,dilithium2,sign,14,2420,15935567,189709,18910.006176600004,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,11444.0,11633.0,189.0,190.0,30337.59068421053,34142.4855,34399.758,5730.304902,18910.006176600004
NUCLEO-F446RE,STM32F446RE,84,3494,dilithium2,verify_ok,2420,0,3184189,37907,3712.8283895999994,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,11495.0,11532.0,37.0,38.0,30366.140421052634,33865.4484,34023.211,1125.0995119999998,3712.8283895999994
NUCLEO-F446RE,STM32F446RE,84,3603,dilithium2,keygen,0,1312,3087452,36755,3618.0944844000005,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2222,412,11604.0,11640.0,36.0,37.0,30488.803810810816,33889.1286,33953.586,1096.3922679999998,3618.0944844000005
NUCLEO-F446RE,STM32F446RE,84,3729,dilithium2,sign,14,2420,9441443,112398,10009.431917099997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2222,412,11730.0,11842.0,112.0,113.0,27065.47084070796,34584.1076,34730.156,3033.161187,10009.431917099997
NUCLEO-F446RE,STM32F446RE,84,3780,dilithium2,verify_ok,2420,0,3184428,37909,3075.4559252999998,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2222,412,11781.0,11818.0,37.0,38.0,25436.513921052632,34339.979699999996,34730.156,931.956341,3075.4559252999998
NUCLEO-F446RE,STM32F446RE,84,3891,dilithium2,keygen,0,1312,3130945,37273,3463.3168580999995,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11892.0,11929.0,37.0,38.0,28514.054684210525,34108.01425,34206.137,1049.489957,3463.3168580999995
NUCLEO-F446RE,STM32F446RE,84,4037,dilithium2,sign,14,2420,11164331,132908,12947.071902599999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12038.0,12170.0,132.0,133.0,29753.574345864665,33970.5394,34181.953,3923.355122,12947.071902599999
NUCLEO-F446RE,STM32F446RE,84,4089,dilithium2,verify_ok,2420,0,3304078,39334,3898.2033221999995,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12090.0,12129.0,39.0,40.0,30318.934950000003,33815.732749999996,33976.891,1181.273734,3898.2033221999995
NUCLEO-F446RE,STM32F446RE,84,4198,dilithium2,keygen,0,1312,3021905,35975,3077.7194580000005,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12199.0,12234.0,35.0,36.0,26850.895666666667,34447.64825,34794.258,932.64226,3077.7194580000005
NUCLEO-F446RE,STM32F446RE,84,4264,dilithium2,sign,14,2420,4496925,53534,5226.242320199999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12265.0,12318.0,53.0,54.0,29788.49737037037,34662.859,34815.336,1583.709794,5226.242320199999
NUCLEO-F446RE,STM32F446RE,84,4315,dilithium2,verify_ok,2420,0,3183760,37901,3426.0558683999993,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12316.0,12353.0,37.0,38.0,28148.917157894735,34259.46795,34353.59,1038.1987479999998,3426.0558683999993
NUCLEO-F446RE,STM32F446RE,84,4426,dilithium2,keygen,0,1312,3130823,37271,3684.7275168000006,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12427.0,12464.0,37.0,38.0,30248.63184210527,33906.76515,34289.48,1116.5840959999998,3684.7275168000006
NUCLEO-F446RE,STM32F446RE,84,4493,dilithium2,sign,14,2420,4496913,53534,4877.484793499999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12494.0,12547.0,53.0,54.0,27923.047222222223,33972.417349999996,34843.844,1478.0256949999998,4877.484793499999
NUCLEO-F446RE,STM32F446RE,84,4543,dilithium2,verify_ok,2420,0,3184104,37906,3935.5630974,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12544.0,12581.0,37.0,38.0,32248.355868421047,34868.6399,34955.828,1192.5948779999999,3935.5630974
NUCLEO-F446RE,STM32F446RE,84,4652,dilithium2,keygen,0,1312,3087299,36753,3944.1068502,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,12653.0,12689.0,36.0,37.0,32992.99972972973,34839.028,34882.109,1195.183894,3944.1068502
NUCLEO-F446RE,STM32F446RE,84,4831,dilithium2,sign,14,2420,13913767,165640,15235.8947367,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,12832.0,12997.0,165.0,166.0,28017.654307228917,34726.8715,35016.551,4616.937798999999,15235.8947367
NUCLEO-F446RE,STM32F446RE,84,4883,dilithium2,verify_ok,2420,0,3249243,38681,3116.4575013000003,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,12884.0,12922.0,38.0,39.0,24852.90887179487,25002.6575,25033.709,944.3810609999999,3116.4575013000003
NUCLEO-F446RE,STM32F446RE,84,4993,dilithium2,keygen,0,1312,3065317,36491,3802.9665432,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,12994.0,13030.0,36.0,37.0,32047.05475675676,34337.7952,34406.762,1152.414104,3802.9665432
NUCLEO-F446RE,STM32F446RE,84,5197,dilithium2,sign,14,2420,15990037,190357,18155.5813593,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2217,412,13198.0,13388.0,190.0,191.0,28934.697481675394,34681.5665,35149.805,5501.691320999999,18155.5813593
NUCLEO-F446RE,STM32F446RE,84,5248,dilithium2,verify_ok,2420,0,3183951,37904,4002.3866355,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2217,412,13249.0,13286.0,37.0,38.0,32571.944684210528,34840.7203,34951.703,1212.8444350000002,4002.3866355
NUCLEO-F446RE,STM32F446RE,84,5357,dilithium2,keygen,0,1312,3021701,35972,3658.0827228,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2217,412,13358.0,13393.0,35.0,36.0,31387.69147222222,34851.23425,35149.805,1108.509916,3658.0827228
NUCLEO-F446RE,STM32F446RE,84,5463,dilithium2,sign,14,2420,7835922,93284,9223.6972278,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13464.0,13557.0,93.0,94.0,29999.583074468082,34578.7391,34957.008,2795.0597659999994,9223.6972278
NUCLEO-F446RE,STM32F446RE,84,5514,dilithium2,verify_ok,2420,0,3184068,37905,3637.9193763,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2205,2221,412,13515.0,13552.0,37.0,38.0,29662.76121052631,34313.2694,34443.914,1102.3998110000002,3637.9193763
