board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,986,kyber512,decaps,768,32,1208320,14384,1121.685737,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1506.55,1517.35,10.8,1081,31472.66377,36052.309,42581.484,339.9047687,1121.685737
NUCLEO-F446RE,STM32F446RE,84,1035,kyber512,keygen,0,800,908016,10809,1248.184601,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1529.96,1541.98,12.02,1203,31467.36755,35738.855,42581.484,378.2377579,1248.184601
NUCLEO-F446RE,STM32F446RE,84,1059,kyber512,encaps,800,768,1010912,12034,1522.768031,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1554.85,1570,15.15,1516,30458.40645,36000.035,43175,461.4448577,1522.768031
NUCLEO-F446RE,STM32F446RE,84,1087,kyber512,decaps,768,32,1208172,14383,1119.15985,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1607.54,1618.34,10.8,1081,31401.79152,35947.773,41989.547,339.1393484,1119.15985
NUCLEO-F446RE,STM32F446RE,84,1135,kyber512,keygen,0,800,907781,10806,1234.543972,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1630.97,1643,12.03,1204,31097.60881,35791.066,43229.031,374.104234,1234.543972
NUCLEO-F446RE,STM32F446RE,84,1160,kyber512,encaps,800,768,1076149,12811,1462.517895,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1655.89,1670.27,14.38,1439,30819.69686,35895.523,42473.742,443.1872408,1462.517895
NUCLEO-F446RE,STM32F446RE,84,1188,kyber512,decaps,768,32,1207984,14380,1111.424419,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1707.59,1718.39,10.8,1081,31184.74801,35895.523,42097.055,336.7952785,1111.424419
NUCLEO-F446RE,STM32F446RE,84,1237,kyber512,keygen,0,800,907962,10809,1250.007332,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1731.1,1743.13,12.03,1204,31487.12391,35678.83255,43120.977,378.7901006,1250.007332
NUCLEO-F446RE,STM32F446RE,84,1261,kyber512,encaps,800,768,1010862,12034,1449.646497,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1756.11,1770.48,14.37,1438,30569.71589,35895.523,42851.07,439.2868173,1449.646497
NUCLEO-F446RE,STM32F446RE,84,1289,kyber512,decaps,768,32,1208126,14382,1117.800735,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1807.62,1818.42,10.8,1081,31363.65697,35895.523,41882.094,338.7274953,1117.800735
NUCLEO-F446RE,STM32F446RE,84,1337,kyber512,keygen,0,800,908045,10810,1315.797778,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1831.12,1843.93,12.81,1282,31126.19824,35843.289,42743.195,398.7265995,1315.797778
NUCLEO-F446RE,STM32F446RE,84,1361,kyber512,encaps,800,768,1010958,12035,1472.287502,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1857.41,1871.8,14.39,1440,31004.01167,35843.289,42958.992,446.1477279,1472.287502
NUCLEO-F446RE,STM32F446RE,84,1389,kyber512,decaps,768,32,1208221,14383,1112.820804,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1909.67,1920.47,10.8,1081,31223.92828,35738.855,42258.414,337.2184254,1112.820804
NUCLEO-F446RE,STM32F446RE,84,1437,kyber512,keygen,0,800,907702,10805,1253.388615,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2247,527,1933.19,1945.22,12.03,1204,31572.2969,36096.75465,42851.07,379.8147317,1253.388615
NUCLEO-F446RE,STM32F446RE,84,1462,kyber512,encaps,800,768,1010627,12031,1440.242103,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,1958.19,1972.57,14.38,1439,30350.27823,35791.066,43120.977,436.4370009,1440.242103
NUCLEO-F446RE,STM32F446RE,84,1489,kyber512,decaps,768,32,1207777,14378,1137.282701,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2009.7,2020.5,10.8,1081,31910.28903,35738.855,42473.742,344.6311216,1137.282701
NUCLEO-F446RE,STM32F446RE,84,1538,kyber512,keygen,0,800,907602,10804,1232.369029,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2033.21,2045.24,12.03,1204,31042.82296,36000.035,43229.031,373.4451602,1232.369029
NUCLEO-F446RE,STM32F446RE,84,1562,kyber512,encaps,800,768,1010522,12030,1427.842712,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2058.22,2072.6,14.38,1439,30088.98537,35791.066,42797.125,432.6796096,1427.842712
NUCLEO-F446RE,STM32F446RE,84,1590,kyber512,decaps,768,32,1207778,14378,1113.68183,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2109.75,2120.55,10.8,1081,31248.08725,35686.66,42097.055,337.4793423,1113.68183
NUCLEO-F446RE,STM32F446RE,84,1638,kyber512,keygen,0,800,908077,10810,1235.594385,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2133.77,2145.8,12.03,1204,31124.06824,36104.598,42689.281,374.4225409,1235.594385
NUCLEO-F446RE,STM32F446RE,84,1662,kyber512,encaps,800,768,1010988,12035,1473.860272,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2158.77,2173.14,14.37,1438,31080.32879,35738.855,42797.125,446.6243247,1473.860272
NUCLEO-F446RE,STM32F446RE,84,1690,kyber512,decaps,768,32,1208242,14383,1117.432401,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2210.77,2221.57,10.8,1081,31353.32213,35738.855,42312.227,338.615879,1117.432401
NUCLEO-F446RE,STM32F446RE,84,1739,kyber512,keygen,0,800,907895,10808,1252.966329,850,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2234.29,2246.31,12.02,1203,31587.91732,36104.598,42958.992,379.6867662,1252.966329
