dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,45589,falcon512,keygen,0,897,260098800,3096414,279252.77862800966,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2530,2497,589,22830.0,25926.4,3096.400000000001,30965.0,27329.168879186174,32919.680199999995,38935.211,84622.0541296999,279252.77862800966
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,46357,falcon512,sign,11,656,63236657,752817,67744.46013357014,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2530,2497,588,23598.0,24350.8,752.7999999999993,7529.0,27270.56743830522,33605.0094,38674.094,20528.624282900048,67744.46013357014
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,46382,falcon512,verify,656,0,942382,11218,1181.6028632100065,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2530,2497,588,23623.0,23634.2,11.200000000000728,113.0,31950.2407079646,34050.7132,34181.672,358.06147370000195,1181.6028632100065
dataset2,7,NUCLEO-F446RE,STM32F446RE,84,48441,falcon512,keygen,0,897,166713347,1984682,183163.7865852305,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2529,2496,589,25682.0,27666.6,1984.5999999999983,19847.0,27967.399913034715,33917.622500000005,38487.184,55504.17775310016,183163.7865852305
dataset2,7,NUCLEO-F446RE,STM32F446RE,84,49212,falcon512,sign,11,655,63453159,755394,73960.10493003014,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2528,2497,589,26453.0,27208.3,755.2999999999993,7554.0,29673.60581228488,34104.51635,35144.605,22412.15300910005,73960.10493003014
dataset2,7,NUCLEO-F446RE,STM32F446RE,84,49237,falcon512,verify,655,0,876834,10438,1097.6523795601909,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2528,2497,589,26478.0,26488.4,10.400000000001455,105.0,32002.199438095235,34122.9212,34409.648,332.62193320005787,1097.6523795601909
dataset2,8,NUCLEO-F446RE,STM32F446RE,84,50934,falcon512,keygen,0,897,136395604,1623757,144640.44673914005,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2527,2496,589,28175.0,29798.7,1623.7000000000007,16238.0,26994.201028944448,33152.284850000004,38466.074,43830.43840580002,144640.44673914005
dataset2,8,NUCLEO-F446RE,STM32F446RE,84,51705,falcon512,sign,11,654,63473139,755632,67677.58592132981,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2527,2496,589,28946.0,29701.6,755.5999999999985,7557.0,27141.40717242292,33250.9974,38157.949,20508.359370099948,67677.58592132981
dataset2,8,NUCLEO-F446RE,STM32F446RE,84,51730,falcon512,verify,654,0,876630,10436,915.4553152801724,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2527,2496,589,28971.0,28981.4,10.400000000001455,105.0,26640.431028571427,29606.8348,32449.898,277.4107016000523,915.4553152801724
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,55291,falcon512,keygen,0,897,292832916,3486106,320422.3376369414,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2525,2499,590,32532.0,36018.1,3486.0999999999985,34862.0,27852.650509666684,33726.7019,39011.816,97097.67807180044,320422.3376369414
