dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset1,7,NUCLEO-F446RE,STM32F446RE,84,20799,p256,keygen,0,64,33113564,394209,88994.42685,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,16279.26,17097.33,818.0699999999999,81808,32965.32637,36209.211,37837.406,26968.00814,88994.42685
dataset1,7,NUCLEO-F446RE,STM32F446RE,84,21223,p256,sign,32,70,34463854,410283,43049.02944,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,17135.67,17529.13,393.46,39347,33154.87265,36261.539,37890.137,13045.16044,43049.02944
dataset1,7,NUCLEO-F446RE,STM32F446RE,84,22047,p256,verify,32,0,68083838,810521,44752.91046,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,498,17542.66,17953.99,411.33,41134,32969.86588,36209.211,38576.824,13561.48802,44752.91046
dataset1,8,NUCLEO-F446RE,STM32F446RE,84,22479,p256,keygen,0,64,33059081,393560,89298.05044,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,498,17967.38,18791.59,824.21,82422,32831.43766,36000.035,37521.297,27060.01529,89298.05044
dataset1,8,NUCLEO-F446RE,STM32F446RE,84,22906,p256,sign,32,71,34705183,413156,42867.56887,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,498,18829.76,19224.15,394.39000000000004,39440,32937.32709,35947.773,38206.797,12990.17238,42867.56887
dataset1,8,NUCLEO-F446RE,STM32F446RE,84,23728,p256,verify,32,0,67945611,808876,44526.37581,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,498,19237.68,19647.73,410.05,41006,32905.37743,36104.598,38206.797,13492.84115,44526.37581
dataset1,9,NUCLEO-F446RE,STM32F446RE,84,24160,p256,keygen,0,64,33059035,393559,87919.90249,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,498,19661.11,20470.93,809.8199999999999,80983,32899.08627,36052.309,37679.293,26642.39469,87919.90249
dataset1,9,NUCLEO-F446RE,STM32F446RE,84,24584,p256,sign,32,72,34504889,410772,43048.94829,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2212,498,20508.89,20903.95,395.06,39507,33020.54994,36104.598,38048.41,13045.13584,43048.94829
dataset1,9,NUCLEO-F446RE,STM32F446RE,84,25413,p256,verify,32,0,68510117,815596,45155.61672,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,498,20917.47,21332.17,414.7,41471,32996.16833,36209.211,38153.988,13683.52022,45155.61672
dataset1,10,NUCLEO-F446RE,STM32F446RE,84,25847,p256,keygen,0,64,33178905,394986,88592.52633,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,498,21345.56,22159.91,814.35,81436,32966.36536,36156.898,37731.984,26846.2201,88592.52633
